iter	Passed	Remaining
0	144	144176
1	170	85285
2	178	59392
3	186	46554
4	194	38782
5	216	35855
6	225	31933
7	236	29297
8	251	27666
9	263	26063
10	278	25076
11	292	24053
12	303	23008
13	311	21954
14	320	21078
15	330	20319
16	340	19708
17	349	19081
18	359	18583
19	369	18097
20	377	17589
21	385	17150
22	396	16838
23	402	16370
24	407	15896
25	415	15558
26	423	15247
27	430	14947
28	455	15252
29	467	15103
30	472	14755
31	476	14425
32	481	14123
33	486	13832
34	492	13570
35	497	13332
36	503	13114
37	510	12918
38	516	12726
39	522	12544
40	529	12392
41	537	12252
42	545	12138
43	557	12107
44	570	12108
45	578	12007
46	586	11890
47	595	11804
48	602	11690
49	611	11621
50	617	11492
51	624	11377
52	633	11321
53	641	11232
54	645	11096
55	649	10942
56	654	10823
57	659	10703
58	662	10573
59	667	10464
60	672	10357
61	677	10251
62	682	10156
63	687	10060
64	692	9964
65	698	9891
66	704	9810
67	710	9734
68	715	9652
69	728	9678
70	734	9606
71	739	9532
72	745	9461
73	752	9421
74	761	9387
75	769	9357
76	776	9309
77	784	9272
78	790	9220
79	799	9194
80	806	9148
81	812	9096
82	818	9043
83	824	8995
84	831	8947
85	839	8920
86	845	8870
87	850	8818
88	856	8766
89	862	8718
90	867	8663
91	872	8606
92	876	8552
93	881	8500
94	887	8449
95	892	8403
96	897	8356
97	903	8313
98	910	8285
99	915	8240
100	921	8198
101	926	8154
102	931	8113
103	936	8070
104	941	8028
105	947	7988
106	952	7947
107	957	7912
108	963	7879
109	969	7840
110	974	7802
111	979	7765
112	984	7728
113	989	7691
114	994	7651
115	998	7611
116	1004	7578
117	1010	7552
118	1015	7515
119	1020	7483
120	1024	7445
121	1033	7436
122	1037	7400
123	1042	7366
124	1047	7334
125	1052	7301
126	1057	7268
127	1062	7238
128	1067	7208
129	1073	7182
130	1078	7152
131	1083	7122
132	1088	7098
133	1093	7070
134	1098	7041
135	1103	7012
136	1108	6983
137	1113	6954
138	1118	6929
139	1123	6902
140	1128	6874
141	1133	6846
142	1137	6815
143	1141	6786
144	1144	6746
145	1149	6724
146	1154	6700
147	1160	6681
148	1166	6660
149	1171	6635
150	1175	6608
151	1179	6580
152	1183	6554
153	1188	6528
154	1193	6505
155	1198	6483
156	1203	6460
157	1207	6437
158	1213	6417
159	1217	6394
160	1222	6372
161	1228	6355
