iter	Passed	Remaining
0	476	476519
1	591	295229
2	680	226127
3	737	183665
4	806	160400
5	962	159491
6	994	141120
7	1076	133523
8	1237	136227
9	1271	125853
10	1295	116477
11	1336	110049
12	1446	109802
13	1474	103821
14	1521	99900
15	1539	94662
16	1563	90380
17	1574	85872
18	1594	82341
19	1620	79380
20	1712	79820
21	1770	78700
22	1796	76313
23	1837	74726
24	1854	72334
25	1895	70999
26	2019	72787
27	2055	71371
28	2082	69730
29	2113	68323
30	2133	66691
31	2149	65017
32	2163	63392
33	2188	62178
34	2234	61614
35	2294	61443
36	2350	61187
37	2425	61404
38	2445	60256
39	2467	59211
40	2489	58233
41	2499	57012
42	2564	57082
43	2620	56933
44	2823	59929
45	2840	58919
46	2905	58922
47	2966	58833
48	2981	57864
49	3000	57004
50	3028	56358
51	3047	55561
52	3084	55112
53	3110	54494
54	3126	53710
55	3147	53053
56	3228	53405
57	3264	53016
58	3355	53522
59	3380	52964
60	3404	52409
61	3428	51871
62	3443	51222
63	3463	50655
64	3493	50256
65	3530	49957
66	3553	49488
67	3584	49132
68	3611	48732
69	3628	48201
70	3649	47756
71	3675	47370
72	3700	46997
73	3721	46566
74	3773	46542
75	3988	48492
76	4023	48225
77	4069	48107
78	4126	48102
79	4162	47869
80	4176	47386
81	4190	46910
82	4195	46355
83	4221	46035
84	4235	45595
85	4255	45229
86	4275	44865
87	4295	44512
88	4319	44212
89	4419	44683
90	4463	44590
91	4485	44266
92	4512	44010
93	4539	43751
94	4558	43424
95	4586	43190
96	4628	43090
97	4675	43030
98	4852	44161
99	4867	43810
100	4889	43518
101	4904	43181
102	4933	42963
103	4951	42658
104	4986	42508
105	5054	42631
106	5172	43171
107	5206	42999
108	5403	44171
109	5423	43883
110	5509	44127
111	5624	44597
112	5762	45236
113	5800	45082
114	5822	44807
115	5843	44533
116	5875	44343
117	5919	44244
118	5976	44248
119	6015	44111
120	6041	43891
121	6105	43938
122	6124	43665
123	6157	43497
124	6177	43242
125	6221	43154
126	6267	43081
127	6296	42892
128	6400	43214
129	6416	42939
130	6444	42747
131	6466	42522
132	6510	42441
133	6530	42203
134	6548	41958
135	6564	41703
136	6589	41507
137	6716	41950
138	6778	41987
139	6876	42240
140	6940	42280
141	6958	42046
142	7031	42138
143	7083	42106
144	7114	41952
145	7129	41703
146	7150	41493
147	7165	41251
148	7180	41013
149	7204	40825
150	7218	40587
151	7237	40375
152	7267	40230
153	7314	40183
154	7419	40446
155	7442	40268
156	7489	40211
157	7509	40019
158	7640	40414
159	7668	40260
160	7687	40058
161	7715	39912
162	7729	39691
163	7750	39510
164	7791	39430
165	7905	39716
166	7928	39545
167	8018	39708
168	8044	39554
169	8058	39345
170	8083	39186
171	8119	39087
172	8208	39239
173	8246	39147
174	8267	38976
175	8304	38879
176	8318	38678
177	8331	38473
178	8344	38272
179	8366	38114
180	8453	38251
181	8662	38935
182	8684	38772
183	8709	38622
184	8719	38414
185	8734	38224
186	8754	38062
187	8792	37977
188	8812	37815
189	8832	37656
190	8852	37496
191	8869	37324
192	8896	37200
193	8942	37152
194	9005	37177
195	9027	37032
196	9076	36995
197	9117	36928
198	9169	36906
199	9222	36891
200	9319	37045
201	9345	36920
202	9428	37015
203	9467	36941
204	9496	36828
205	9553	36822
206	9637	36919
207	9654	36762
208	9677	36625
209	9707	36517
210	9831	36764
211	9865	36669
212	9891	36546
213	9913	36410
214	9945	36312
215	9985	36243
216	10247	36976
217	10270	36841
218	10294	36712
219	10321	36595
220	10556	37210
221	10785	37798
222	10832	37742
223	10927	37855
224	11109	38266
225	11144	38167
226	11448	38985
227	11560	39144
228	11935	40184
229	11967	40063
230	12022	40023
231	12052	39897
232	12078	39760
233	12228	40030
234	12472	40602
235	12806	41457
236	12999	41852
237	13027	41708
238	13162	41910
239	13208	41827
240	13295	41872
241	13330	41755
242	13360	41621
243	13402	41524
244	13567	41811
245	13595	41671
246	13692	41741
247	13719	41600
248	13888	41889
249	13914	41744
250	13932	41575
251	13947	41400
252	14090	41602
253	14370	42206
254	14386	42030
255	14457	42016
256	14503	41929
257	14640	42105
258	14743	42182
259	14797	42115
260	15047	42607
261	15153	42684
262	15182	42545
263	15308	42678
264	15336	42538
265	15551	42912
266	15861	43545
267	15896	43419
268	16023	43543
269	16097	43523
270	16282	43799
271	16434	43987
272	16457	43827
273	16511	43749
274	16540	43607
275	16600	43546
276	16740	43694
277	16851	43765
278	16876	43611
279	17024	43778
280	17160	43908
281	17190	43768
282	17227	43646
283	17326	43681
284	17476	43844
285	17703	44197
286	17728	44042
287	18044	44609
288	18086	44497
289	18305	44817
290	18479	45024
291	18754	45473
292	18855	45497
293	18883	45346
294	19167	45807
295	19367	46063
296	19417	45961
297	19567	46096
298	19774	46361
299	19815	46235
300	19835	46063
301	19855	45891
302	19888	45749
303	19970	45722
304	20098	45798
305	20149	45698
306	20458	46181
307	20622	46334
308	20638	46152
309	20807	46313
310	20870	46238
311	20889	46064
312	21066	46239
313	21364	46675
314	21402	46540
315	21607	46770
316	21642	46631
317	21653	46439
318	21665	46252
319	21840	46412
320	21957	46445
321	21989	46300
322	22139	46403
323	22178	46272
324	22224	46157
325	22573	46669
326	22592	46497
327	22826	46766
328	22847	46598
329	23040	46779
330	23198	46886
331	23231	46741
332	23297	46665
333	23336	46533
334	23412	46476
335	23533	46507
336	23552	46336
337	23739	46495
338	23818	46442
339	23905	46405
340	24093	46562
341	24154	46473
342	24300	46546
343	24439	46605
344	24516	46545
345	24554	46411
346	24729	46537
347	24771	46410
348	24940	46522
349	24969	46371
350	25305	46790
351	25445	46842
352	25481	46703
353	25748	46988
354	25831	46933
355	25864	46787
356	25952	46744
357	26029	46678
358	26118	46635
359	26378	46895
360	26516	46936
361	26616	46908
362	26749	46940
363	26828	46875
364	26846	46705
365	26992	46756
366	27013	46593
367	27067	46486
368	27107	46353
369	27295	46476
370	27331	46338
371	27441	46326
372	27548	46307
373	27573	46152
374	27640	46068
375	27686	45948
376	27735	45833
377	28051	46159
378	28079	46008
379	28124	45887
380	28140	45718
381	28168	45571
382	28269	45541
383	28381	45529
384	28404	45372
385	28447	45250
386	28468	45092
387	28519	44983
388	28568	44871
389	28845	45117
390	28865	44958
391	28887	44805
392	28941	44700
393	29103	44764
394	29132	44620
395	29161	44478
396	29296	44497
397	29359	44407
398	29439	44343
399	29471	44206
400	29563	44161
401	29771	44287
402	29877	44259
403	29911	44126
404	29965	44023
405	29993	43882
406	30020	43739
407	30077	43641
408	30159	43579
409	30185	43437
